Lake,Town,Observer,Date,Start,Stop,Adults,Chicks,SubAdults,Survey,Comments
Amherst ,Plymouth,,7/19/2008,,,0,0,0,1,"Carol Johnson saw 1A, 7-18"
Baker,Barton,,7/19/2008,,,2,1,0,1,others report two chicks
Bald Hill,Westmore,,7/19/2008,,,2,0,0,1,"one egg flooded, broke in nest 7-21. chick died after few days. Volunteer plans to send it to you. (Maree Bushey)"
Ball Mountain,Jamaica,,7/19/2008,,,0,0,0,1,
Bean ,Sutton,,7/19/2008,,,2,1,0,1,"renest, still on 7-23"
Beebe (Hubbarton),Hubbardton,Frank Thompson,7/19/2008,,,0,0,0,1,"from Frank Thompson, henry 7/20 0"
Berlin,Berlin,,7/19/2008,,,2,2,,1,
Bliss,Calais,,7/19/2008,,,0,0,0,1,"one Adult there all week, left on weekend"
Bomoseen,Castleton,,7/19/2008,,,1,,,1,09 add
Bourn,Sunderland,,7/19/2008,,,2,1,0,1,not nest island
Branch,Sunderland,,7/19/2008,,,2,0,0,1,"7/20 2 adults reported earlier, 0 at 5:30 "
Bristol (Winona),Bristol,,7/19/2008,,,0,0,0,1,
Brownington,Brownington,,7/19/2008,,,1,0,0,1,"one on nest - Ellen (EVM) & Daniels . No loons, my observation 8-12"
Carmi,Franklin,,7/19/2008,,,2,0,1,1,
Caspian,Greensboro,,7/19/2008,,,3,0,0,1,
Chandler,Wheelock,,7/19/2008,,,0,0,0,1,7/20 hear calls almost daily. Saw one adult Aug. 14
Charleston ,,,7/19/2008,,,0,0,0,1,
Chipman ,Tinmouth,Nancy Brown Denby,7/19/2008,,,0,0,0,1,Nancy Brown Denby 0 (new?)
Chittenden,Chittenden,,7/19/2008,,,2,0,0,1,two eggs seen w/ binoculars on 8-5
Clyde,Derby,,7/19/2008,,,0,0,0,1,
Coits,,,7/19/2008,,,0,0,0,1,
Coles,Walden,,7/19/2008,,,2,2,0,1,new nest site on map-back of LW form (NE)
Collins,Hyde Park,,7/19/2008,,,0,,,1,
Comerford ,,,7/19/2008,,,0,0,0,1,saw American Dipper :)
Crystal,Barton,,7/19/2008,,,2,0,0,1,Could be 3 but unclear
Curtis,Curtis,,7/19/2008,,,2,0,0,1,still only two 8-12
Danby,Danby,,7/19/2008,,,0,0,0,1,bald eagle sightings
Derby,Derby,,7/19/2008,,,2,1,0,1,
Deweys Mill,,,7/19/2008,,,0,0,0,1,
Dog (Valley),Woodbury,Barbara Ploof,7/19/2008,,,1,0,0,1,"Mabel and Don 2 ad 1 sa at 10 am, Barbara Ploof saw 1 adult at 8:30 am"
